,dayname,hour,cluster,Lat,Lon
650,Saturday,1,4,40.73730125,-74.03016249999999
651,Saturday,1,5,40.77294444444445,-73.97798333333334
652,Saturday,1,6,40.69706666666667,-73.93491904761905
653,Saturday,1,7,40.708555555555556,-74.0127
654,Saturday,1,8,40.750585,-74.003125
655,Saturday,1,9,40.70462105263158,-74.01031578947368
656,Saturday,1,10,40.7632,-73.97188214285714
657,Saturday,1,11,40.76018666666666,-73.9785
658,Saturday,1,12,40.75665416666667,-73.96955
659,Saturday,2,-1,40.73208141962422,-73.94964853862214
660,Saturday,2,0,40.73217580428955,-73.99491534852547
661,Saturday,2,1,40.702392,-73.927728
662,Saturday,2,2,40.716431578947365,-73.95789766081872
663,Saturday,2,3,40.76210628019324,-73.98962850241546
664,Saturday,2,4,40.757321052631575,-73.96874736842105
665,Saturday,2,5,40.75083333333333,-74.00304545454546
666,Saturday,2,6,40.70658888888889,-73.92212222222221
667,Saturday,2,7,40.71431904761905,-74.0093619047619
668,Saturday,2,8,40.76164615384615,-73.97178461538462
669,Saturday,3,-1,40.73152103688933,-73.95924586241277
670,Saturday,3,0,40.72445014245014,-73.99120256410257
671,Saturday,3,1,40.73813374233129,-74.00369233128833
672,Saturday,3,2,40.764393999999996,-73.99633399999999
673,Saturday,3,3,40.746893478260866,-73.98614130434783
674,Saturday,3,4,40.73862105263158,-73.98587368421053
675,Saturday,3,5,40.75014210526316,-74.0027105263158
676,Saturday,3,6,40.72064310344828,-73.9574948275862
677,Saturday,3,7,40.74422222222222,-73.97920277777777
678,Saturday,3,8,40.7632705882353,-73.98647058823529
679,Saturday,3,9,40.758030769230764,-73.99093076923077
680,Saturday,3,10,40.714756,-74.008624
681,Saturday,4,-1,40.73590240320427,-73.95529973297731
682,Saturday,4,0,40.74734222222222,-73.98745111111111
683,Saturday,4,1,40.645582608695655,-73.77918550724637
684,Saturday,4,2,40.72686020408163,-73.99788596938775
685,Saturday,4,3,40.76257669172932,-73.99067218045113
686,Saturday,4,4,40.75074444444445,-74.0025611111111
687,Saturday,4,5,40.74127142857143,-73.98068214285715
688,Saturday,4,6,40.72069166666667,-73.95881666666666
689,Saturday,5,-1,40.73216865671642,-73.95465005740529
690,Saturday,5,0,40.762317894736846,-73.98495157894736
691,Saturday,5,1,40.7568,-73.970009375
692,Saturday,5,2,40.735579012345674,-73.9979353909465
693,Saturday,5,3,40.77866896551724,-73.98368965517241
694,Saturday,5,4,40.72474444444444,-73.9845
695,Saturday,5,5,40.64532753623188,-73.78170869565217
696,Saturday,5,6,40.708374468085104,-74.00892978723404
697,Saturday,5,7,40.72155789473684,-73.95791578947369
698,Saturday,5,8,40.73871764705882,-73.98404411764706
699,Saturday,5,9,40.71666666666667,-74.01193333333333
700,Saturday,6,-1,40.73545724563207,-73.95237019527235
701,Saturday,6,0,40.73461222570533,-73.99218134796239
702,Saturday,6,1,40.76271060606061,-73.98778181818182
703,Saturday,6,2,40.64589152542373,-73.7816779661017
704,Saturday,6,3,40.707225,-74.009875
705,Saturday,6,4,40.718483673469386,-73.95900612244898
706,Saturday,6,5,40.76553714285714,-73.96072857142858
707,Saturday,6,6,40.78125806451613,-73.95037419354838
708,Saturday,6,7,40.71078947368421,-73.95047894736842
709,Saturday,6,8,40.772981081081085,-73.9532108108108
710,Saturday,7,-1,40.730242180094784,-73.94727954186415
711,Saturday,7,0,40.73767629815745,-73.99237956448911
712,Saturday,7,1,40.77445664739884,-73.95643179190752
713,Saturday,7,2,40.644893548387095,-73.78212258064517
714,Saturday,7,3,40.7835511627907,-73.97961511627908
715,Saturday,7,4,40.71156666666666,-73.96462
716,Saturday,7,5,40.7644,-73.96840999999999
717,Saturday,8,-1,40.728088221343874,-73.93989786561265
718,Saturday,8,0,40.74902672292546,-73.98464350679794
719,Saturday,8,1,40.77396333333333,-73.87221
720,Saturday,8,2,40.71162857142857,-73.94897551020408
721,Saturday,8,3,40.6928025,-73.9851625
722,Saturday,8,4,40.715308955223875,-73.96258208955224
723,Saturday,8,5,40.707992592592596,-74.01653703703704
724,Saturday,8,6,40.76988947368421,-73.86532105263159
725,Saturday,8,7,40.71487142857143,-73.95574285714285
726,Saturday,8,8,40.6773,-73.97371
727,Saturday,9,-1,40.72318914845516,-73.9357446872645
728,Saturday,9,0,40.74839488233097,-73.98530851699664
729,Saturday,9,1,40.7248,-73.941445
730,Saturday,9,2,40.769444,-73.864508
731,Saturday,9,3,40.773990909090905,-73.87204545454546
732,Saturday,9,4,40.71828115942029,-73.95895942028986
733,Saturday,9,5,40.709721875,-73.95061875
734,Saturday,9,6,40.71532702702703,-73.94324054054054
735,Saturday,9,7,40.70245,-73.98889615384616
736,Saturday,9,8,40.690988372093024,-73.98570465116279
737,Saturday,9,9,40.644933333333334,-73.78209444444445
738,Saturday,9,10,40.6950935483871,-73.99495483870969
739,Saturday,10,-1,40.72743576896312,-73.9357425191371
740,Saturday,10,0,40.747433290447084,-73.98570012865873
741,Saturday,10,1,40.69196335877863,-73.98967328244274
742,Saturday,10,2,40.76945675675676,-73.86405675675675
743,Saturday,10,3,40.71501787439614,-73.95454299516909
744,Saturday,10,4,40.7739125,-73.87251875
745,Saturday,10,5,40.673944444444444,-73.9807984126984
